# I_sr[mA]    f_s[Hz]
0.000000e+00 8.539204e+03
5.000000e+00 8.537769e+03
1.000000e+01 8.533468e+03
1.500000e+01 8.526312e+03
2.000000e+01 8.516318e+03
2.500000e+01 8.503509e+03
3.000000e+01 8.487918e+03
3.500000e+01 8.469581e+03
4.000000e+01 8.448542e+03
4.500000e+01 8.424849e+03
5.000000e+01 8.398558e+03
5.500000e+01 8.369729e+03
6.000000e+01 8.338426e+03
6.500000e+01 8.304719e+03
7.000000e+01 8.268680e+03
7.500000e+01 8.230387e+03
8.000000e+01 8.189918e+03
8.500000e+01 8.147357e+03
9.000000e+01 8.102787e+03
9.500000e+01 8.056295e+03
1.000000e+02 8.007969e+03
1.050000e+02 7.957896e+03
1.100000e+02 7.906167e+03
1.150000e+02 7.852869e+03
1.200000e+02 7.798093e+03
1.250000e+02 7.741925e+03
1.300000e+02 7.684455e+03
1.350000e+02 7.625768e+03
1.400000e+02 7.565949e+03
1.450000e+02 7.505081e+03
1.500000e+02 7.443247e+03
1.550000e+02 7.380524e+03
1.600000e+02 7.316991e+03
1.650000e+02 7.252722e+03
1.700000e+02 7.187790e+03
1.750000e+02 7.122263e+03
1.800000e+02 7.056211e+03
1.850000e+02 6.989696e+03
1.900000e+02 6.922781e+03
1.950000e+02 6.855525e+03
2.000000e+02 6.787984e+03
2.050000e+02 6.720211e+03
2.100000e+02 6.652258e+03
2.150000e+02 6.584172e+03
2.200000e+02 6.515999e+03
2.250000e+02 6.447782e+03
2.300000e+02 6.379561e+03
2.350000e+02 6.311374e+03
2.400000e+02 6.243257e+03
2.450000e+02 6.175242e+03
2.500000e+02 6.107361e+03
2.550000e+02 6.039641e+03
2.600000e+02 5.972111e+03
2.650000e+02 5.904793e+03
2.700000e+02 5.837711e+03
2.750000e+02 5.770885e+03
2.800000e+02 5.704334e+03
2.850000e+02 5.638076e+03
2.900000e+02 5.572126e+03
2.950000e+02 5.506497e+03
3.000000e+02 5.441203e+03
3.050000e+02 5.376254e+03
3.100000e+02 5.311660e+03
3.150000e+02 5.247430e+03
3.200000e+02 5.183571e+03
3.250000e+02 5.120088e+03
3.300000e+02 5.056988e+03
3.350000e+02 4.994274e+03
3.400000e+02 4.931949e+03
3.450000e+02 4.870015e+03
3.500000e+02 4.808473e+03
