# I_sr[mA]    f_s[Hz]
0.000000e+00 4.790769e+02
5.000000e+00 4.861055e+02
1.000000e+01 5.064658e+02
1.500000e+01 5.382573e+02
2.000000e+01 5.790133e+02
2.500000e+01 6.262585e+02
3.000000e+01 6.778202e+02
3.500000e+01 7.319247e+02
4.000000e+01 7.871773e+02
4.500000e+01 8.425009e+02
5.000000e+01 8.970722e+02
5.500000e+01 9.502664e+02
6.000000e+01 1.001614e+03
6.500000e+01 1.050768e+03
7.000000e+01 1.097479e+03
7.500000e+01 1.141575e+03
8.000000e+01 1.182946e+03
8.500000e+01 1.221532e+03
9.000000e+01 1.257315e+03
9.500000e+01 1.290308e+03
1.000000e+02 1.320549e+03
1.050000e+02 1.348097e+03
1.100000e+02 1.373026e+03
1.150000e+02 1.395420e+03
1.200000e+02 1.415374e+03
1.250000e+02 1.432985e+03
1.300000e+02 1.448357e+03
1.350000e+02 1.461593e+03
1.400000e+02 1.472798e+03
1.450000e+02 1.482074e+03
1.500000e+02 1.489522e+03
1.550000e+02 1.495243e+03
1.600000e+02 1.499331e+03
1.650000e+02 1.501879e+03
1.700000e+02 1.502976e+03
1.750000e+02 1.502708e+03
1.800000e+02 1.501155e+03
1.850000e+02 1.498395e+03
1.900000e+02 1.494502e+03
1.950000e+02 1.489545e+03
2.000000e+02 1.483590e+03
2.050000e+02 1.476700e+03
2.100000e+02 1.468933e+03
2.150000e+02 1.460345e+03
2.200000e+02 1.450987e+03
2.250000e+02 1.440908e+03
2.300000e+02 1.430155e+03
2.350000e+02 1.418771e+03
2.400000e+02 1.406795e+03
2.450000e+02 1.394265e+03
2.500000e+02 1.381217e+03
2.550000e+02 1.367683e+03
2.600000e+02 1.353694e+03
2.650000e+02 1.339277e+03
2.700000e+02 1.324460e+03
2.750000e+02 1.309267e+03
2.800000e+02 1.293720e+03
2.850000e+02 1.277840e+03
2.900000e+02 1.261645e+03
2.950000e+02 1.245154e+03
3.000000e+02 1.228382e+03
3.050000e+02 1.211344e+03
3.100000e+02 1.194052e+03
3.150000e+02 1.176518e+03
3.200000e+02 1.158752e+03
3.250000e+02 1.140763e+03
3.300000e+02 1.122558e+03
3.350000e+02 1.104144e+03
3.400000e+02 1.085526e+03
3.450000e+02 1.066707e+03
3.500000e+02 1.047691e+03
